sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24
MA0006.1_Ahr..Arnt	-0.000409242656381769	-0.00915673743696175	0.00145164434279127	-0.00357307229780771	-0.00601957576402128	-0.00451519987444437	0.00440248293516571	0.00272786759832521	0.00797498932105585	0.00429222609511014	0.000106171548223975	-0.00232921779187891	-0.00048042588961951	-0.00400809230000495	-0.00131056669231658	-0.0028921127043763	0.00733562876252571	0.00143403851573837	-0.0171061983528616	0.00389034845733434	-0.000888291464970903	0.0131189951732263	-0.0061316014932581	0.0077068327228812
MA0854.1_Alx1	-0.00791783336029412	0.00705689166911821	-0.00404533309435333	0.00544762402060796	0.00195291805233045	0.00315821251888661	-0.00502406127834639	0.0026968971224882	-0.00256785506392283	0.0183959793299389	0.000632155116770088	0.0252177742230834	-0.00433609166568223	-0.00456673199765039	0.00259767920090919	-0.00598916068367778	0.00248622890082128	0.0026804478606727	-0.00230241658422764	0.00404803034606813	0.00727110905210273	0.00205632664954095	-0.0255349231138316	-0.00344006211146677
MA0634.1_ALX3	-0.000591869088491378	-0.00826326866536062	0.00100792754330492	0.007828106126346	-0.00701592869730646	0.00213905177076793	0.00443587854919215	-0.00858952501344765	0.0155490742997319	-0.00289667795711206	-0.00213448152172294	-0.00641206394599077	-0.00381981083350804	0.012511493255438	0.00635869695875013	0.00432630514450494	-0.00218193704010667	-0.00393309669493286	0.00226828685911924	0.00140240459799787	0.00736367924454107	-0.00147911474450756	-0.00405345917601201	-0.00883239115847835
MA0853.1_Alx4	0.00502448818013441	0.00643333350726837	-0.000326855951960155	0.00467146185532178	-0.00808217003076645	0.00600800576464895	0.000121855874841331	-0.00112515744678442	0.00069376099866827	-0.00574058032409976	-0.000478084058669265	-0.00473386621473968	-0.000979110514189573	-0.00483413101161738	-0.0124773521860765	-0.000241033586338994	-0.00507074852568214	0.000204881949536482	-0.00112945257177893	0.00181232689492036	0.00501534105644511	0.002937046578161	0.00848479833213815	-0.000636765347970468
MA0007.3_Ar	0.00304218597411528	0.00208002535232129	-0.00202011996691533	0.00684956281705731	-0.0112961827444664	0.00140866413045076	-0.00129730499063603	0.0120634655990779	-0.0104412628790666	0.00305882460916901	0.00564318686084225	-0.00550890720955085	-0.00230179309970238	-0.0079218021125824	0.0109477912407829	-0.00212864721634028	-0.000539586276346666	0.00449345779874018	0.00713679076934421	0.00294084781888198	-0.00331636345439337	-0.00449551633530838	0.00343463904819636	0.0006311499711144
MA1463.1_ARGFX	-0.00295592437105148	0.00194780757442898	0.000280827467575238	-0.00327216063907731	0.00255846781647308	-0.00346792506576654	-0.00129046558880735	0.00139015412443015	-0.0012137685590909	-0.00328067365955681	-0.00300337067833193	0.0107316757722559	0.0000405521638645119	-0.00319805616155671	0.00857660265517296	0.000598231111430503	0.00183285747260981	0.00024992359122928	0.000403466134834173	-0.00172334335676253	-0.00195963281826472	0.00084315465565729	-0.0070202012946228	-0.00306117941929807
MA0151.1_Arid3a	0.00712038906594905	0.00429236188184717	-0.00344425239974904	-0.00698337295905952	-0.00598568495185346	0.00371327114599679	-0.0223487083907224	0.0115456912759876	-0.0235074940314416	-0.00684891350713289	0.00803376605316362	-0.0165984154435194	0.00552677587818265	0.0100695483653738	0.00166834325751531	0.00421807092843388	0.0107001208723912	0.00508360744485501	0.0135850328747546	-0.00923547494481171	-0.0136036626281754	-0.0192426513497766	0.0214000730282066	-0.000205964316336478
MA0601.1_Arid3b	0.0172903484930287	-0.0275041396815596	0.00982907767479056	-0.00188269374389858	0.0170072005234263	0.00203920107018028	0.0134999435819254	0.00340415729082046	-0.00370092499524589	-0.0057874909566884	0.00367037821672497	-0.0000608348967426459	-0.000641538904867499	-0.00462950452621433	-0.0193808241156102	-0.000879897975843959	-0.0126255896285225	-0.00881372302452438	0.00392152845888628	0.00140703520534915	-0.0103276212279886	-0.00741411565460047	-0.00120065363817758	0.00655101025460017
MA0602.1_Arid5a	-0.000881905188100564	-0.00122205253516481	0.0054572378736574	0.0161960600026758	0.0157152172382151	-0.011212554285154	-0.00844032274256626	0.00106994641199807	-0.0118525964386624	0.00562559749206923	-0.00915937829167845	-0.00066629977851249	-0.00506690746925732	-0.00436493804847738	0.0123642905078841	-0.00990624270111188	-0.00811042166312059	-0.00246209480419314	0.00177758468780851	0.000110320350018479	0.00519874627369534	0.0113622344609775	0.00222797920393437	0.00329296871329996
MA0004.1_Arnt	0.0111862480613235	0.00813308983697155	0.0044428218559877	0.00534028601738349	-0.0000877211574315636	0.0020556618991268	-0.0071774622738657	0.00757310771847023	-0.0372959933667657	0.00568982598153395	0.00515190466567996	-0.00891078233166603	0.00409680747502174	-0.0012627370753953	-0.00435829981745029	0.000426587999447141	-0.0101320860035218	0.00441722592780478	0.006624435736175	-0.0029052709078978	-0.00726423199428552	-0.0134037644743384	0.00634180341473089	0.00432003925888887
MA0259.1_ARNT..HIF1A	-0.00991433274660649	0.00764242199049406	0.00239462198973906	0.00549110945517623	-0.00226211942492794	-0.00102629456674712	0.01315118943535	-0.00776165400936427	0.0122002963679484	-0.00442090609048481	-0.00506771263503233	0.0120800711239197	-0.000540209213506268	-0.0041845080755168	-0.00696823193206117	0.00379137514876386	-0.00321837120736218	0.00382434755323225	-0.00397820438687083	-0.00511830780001293	0.00850247362417285	0.00402240423013212	-0.00308580019192325	0.00208521815338728
MA1464.1_ARNT2	0.00317324160170502	0.00311282074043114	0.000891292383097008	0.00245492536577443	0.00704856312602357	0.00429384912479251	-0.0043294308823013	-0.00565656507775038	-0.0104950338622636	-0.00972628964482585	-0.00193451004205778	-0.00764756632355068	-0.00792143717482164	0.00896114682865633	-0.00122618800597449	0.00161215349892378	-0.00697336006870189	-0.00391614701771012	0.00765194135308328	-0.00157764590911963	-0.00564521107499928	0.0000141895274896146	0.0161977895860716	-0.00398813959804214
MA0603.1_Arntl	-0.0031881486163893	0.0114546395522861	-0.000748852533167049	0.00329387325757937	-0.00788820365031797	-0.00895277175022807	-0.0126866775395838	0.0130228432664393	-0.00624373339862277	0.00587834799412166	-0.00235231654413363	0.00428794663446163	-0.000431735771498711	-0.0055468401987079	0.0112736551881547	0.00396528716817019	0.00333172655029041	-0.00278751815984588	-0.00736983364723431	0.0014484907792152	-0.00616854070055129	0.00833969890219574	-0.00526058861517604	-0.0075026440600565
MA0874.1_Arx	0.000702913304037364	0.0173995562775208	-0.00913527910273172	-0.0198072171652784	0.00869092130016752	0.00287782715603124	-0.000610557599875508	-0.00116703836099744	-0.00627537742431144	0.000500286390659469	-0.00352826674090627	0.0144151920650147	0.00560223327302182	-0.00185587671690466	-0.00462125790543993	-0.000225729676567502	0.00483931066795808	0.00764563683775799	0.000881602618474127	-0.0016431231909939	-0.00480954407557462	-0.00809081253871938	-0.00102064880537985	0.00215523859231075
MA1100.2_ASCL1	-0.00578638708950079	-0.00277405625845482	0.00191259377741366	0.00572564481525079	-0.007727450663752	0.00270565390891321	0.00984053838446132	-0.0164794240635331	0.0207369189778528	-0.00683511264838987	0.00200725619020997	-0.0102507372071482	-0.000112237254848289	-0.00161364439538452	-0.00461375849429281	0.0031768662457696	-0.00260187652396786	-0.00439573655512221	0.00852695587901498	0.0128590427273453	0.0133810974442675	0.00163878907430263	-0.00610190947034144	-0.00180234104310063
MA1631.1_ASCL1.var.2.	-0.00408348629743004	-0.00221712958775782	0.00163851993641535	0.000470337152973928	-0.00343032062953768	-0.00686724331609363	0.00381135782685596	-0.00211132708231368	0.0123918959017212	-0.00452248802249119	0.00333833523091797	0.00132583148304714	-0.00539848110164055	0.00517517095741893	0.00247014595428243	-0.000171789568878961	-0.00155591518064844	-0.0094632837387868	-0.00020630626498338	-0.00318260997273985	0.000131411874409167	0.00227839102891899	-0.00256575601476002	-0.00525103581462082
MA0816.1_Ascl2	-0.00373596339075537	0.00800943094685062	-0.00194414220415754	-0.0144621354017349	0.00943259210246552	-0.00335306241169238	-0.0107269436041512	0.0070769562467021	-0.0199295506257283	0.00774473868906368	0.0002664145924221	0.00697206673623471	0.0119166555973264	-0.00687264844224416	0.000564035372186751	-0.00705907394991842	0.0140005459079011	0.00672047133158859	-0.000639830394731047	-0.00234849018329377	-0.00271858298933834	0.00310689983488859	0.00589236730021483	0.00171634630926598
MA0604.1_Atf1	-0.0000138929118879767	0.00620052308057345	-0.00121406400671004	0.00217247173006662	-0.00605665515253395	0.00412885103789625	-0.0116935192520037	0.00982516406712042	-0.0344118596859485	0.0147311564728069	0.00323051411730367	0.00497102173050134	0.0109429537386908	-0.00660592292415758	-0.00288269244796354	0.000865423919507805	0.0106357028802189	0.0127714655610336	-0.00388467504439171	0.000429367375983181	-0.00147859378169456	-0.00204618686168739	0.00260033444435509	0.00609671991314367
MA1632.1_ATF2	-0.00000450847145325897	0.00671476916243837	-0.00577926428634168	-0.00235774687289998	0.00873990810764919	0.00544040943338529	-0.00728780201430791	-0.0120253939518578	-0.00685554051702093	-0.00437410758624387	0.00160817382473268	-0.00939247979302122	0.00323464358030714	0.00348749093791055	0.00459532334753203	-0.0071510038998109	0.00436341811389368	0.00376481414262126	0.0134593520366483	-0.00378581846870633	0.00246788287323599	-0.00924569295191341	0.00533723997863667	0.00273905346680713
MA0605.2_ATF3	-0.0287953250216017	0.0092833373400184	-0.0097039619213069	0.0171626070574082	-0.0017826293290769	-0.01002623841677	0.0185625392643171	-0.0136619815914812	0.0667742282182373	-0.00691872044258871	-0.00845431557752272	0.0122516649723462	-0.018602330068445	0.00106440175756191	0.00965494356400829	0.00872737757577432	-0.00284003366042944	-0.0198923156103895	-0.0253685530616369	0.0034641169185973	0.00809559951442808	0.040126311490808	-0.0159586109391607	-0.00568708649492471
