MA0006.1_Ahr::Arnt	MA0854.1_Alx1	MA0634.1_ALX3	MA0853.1_Alx4	MA0007.3_Ar	MA1463.1_ARGFX	MA0151.1_Arid3a	MA0601.1_Arid3b	MA0602.1_Arid5a	MA0004.1_Arnt	MA0259.1_ARNT::HIF1A	MA1464.1_ARNT2	MA0603.1_Arntl	MA0874.1_Arx	MA1100.2_ASCL1	MA1631.1_ASCL1(var.2)	MA0816.1_Ascl2	MA0604.1_Atf1	MA1632.1_ATF2	MA0605.2_ATF3	MA0833.2_ATF4	MA1466.1_ATF6	MA0834.1_ATF7	MA0461.2_Atoh1	MA1467.1_ATOH1(var.2)	MA1468.1_ATOH7	MA1633.1_BACH1	MA0591.1_Bach1::Mafk	MA1101.2_BACH2	MA1470.1_BACH2(var.2)	MA0877.2_BARHL1	MA0635.1_BARHL2	MA0875.1_BARX1	MA1471.1_BARX2	MA1634.1_BATF	MA0462.2_BATF::JUN	MA0835.2_BATF3	MA0463.2_BCL6	MA0731.1_BCL6B	MA0607.1_Bhlha15	MA1472.1_BHLHA15(var.2)	MA0818.1_BHLHE22	MA1635.1_BHLHE22(var.2)	MA0817.1_BHLHE23	MA0464.2_BHLHE40	MA0636.1_BHLHE41	MA0876.1_BSX	MA0878.2_CDX1	MA0465.2_CDX2	MA1473.1_CDX4
8	14	6	38	6	5	15	11	15	0	20	7	85	14	30	3	8	31	35	3	9	4	5	2	7	8	10	43	25	4	172	7	4	2	17	6	6	31	41	5	3	3	1	8	33	25	2	0	0	8
2	15	7	19	4	17	47	12	6	22	19	5	11	14	5	16	9	27	29	9	12	15	9	8	10	19	6	16	6	10	7	2	0	2	4	7	4	8	7	5	1	22	13	4	11	9	3	5	18	2
3	0	9	7	15	45	10	6	6	27	12	3	13	73	26	10	0	3	5	0	2	0	5	6	0	17	1	11	9	1	3	9	2	6	1	0	17	4	24	4	4	77	2	1	0	2	0	6	2	24
23	15	59	0	34	1	0	0	14	14	7	21	16	19	12	77	28	0	7	2	0	1	0	10	1	12	7	30	1	2	0	22	0	0	0	5	28	8	0	2	28	6	7	0	0	0	0	0	0	12
48	4	12	51	0	1	10	65	0	13	16	0	0	2	14	160	121	10	25	33	36	4	9	92	102	20	138	0	14	5	4	43	12	20	72	36	0	13	0	31	3	7	5	8	0	4	2	7	13	9
0	0	0	14	2	6	3	2	4	287	4	2	7	15	6	9	73	5	65	197	15	14	31	0	2	48	19	0	0	0	107	346	129	23	174	4	71	34	17	19	192	24	94	0	1	6	13	0	10	10
19	5	36	39	3	0	0	48	100	2	2	1	5	0	1	5	37	0	156	3	0	0	33	0	0	2	7	2	20	81	11	16	100	66	5	1	17	26	24	9	22	36	125	47	12	28	43	85	4	50
18	4	0	11	5	0	0	0	7	1	50	1	2	8	13	3	0	7	6	0	0	0	7	15	0	1	17	2	18	2	9	2	11	3	13	3	2	3	1	0	2	0	0	0	4	4	0	7	24	1
3	8	0	8	20	6	25	4	38	9	9	17	13	33	3	29	17	23	9	17	23	2	29	98	29	76	140	48	83	35	107	106	93	60	50	34	19	25	313	7	54	0	0	0	4	4	0	0	9	4
20	15	0	0	0	0	2	5	3	3	34	56	31	20	9	0	0	0	1	0	15	24	3	18	0	16	12	14	0	2	3	0	2	0	26	0	0	0	0	5	12	0	0	0	26	0	4	4	0	2
0	0	10	5	1	2	0	4	33	0	4	3	3	9	2	2	2	13	24	0	0	0	3	0	8	5	2	4	0	2	2	4	2	0	2	3	2	0	0	2	1	2	0	5	0	1	0	0	1	4
135	12	48	36	30	189	26	80	106	71	114	83	1	44	94	3	125	16	41	33	66	23	90	47	201	19	75	45	71	66	21	141	23	40	41	44	44	18	19	32	84	95	74	54	107	36	184	203	74	130
4	15	48	47	4	4	7	15	4	14	49	21	13	0	7	7	26	23	10	16	6	8	9	19	21	14	4	2	22	2	10	16	10	45	24	3	54	1	10	12	18	23	10	37	3	0	23	17	2	24
3	0	2	5	7	28	5	32	2	46	5	26	13	11	14	13	24	12	42	19	1	6	6	30	6	37	11	25	8	36	0	35	21	11	15	2	6	1	2	7	3	7	2	6	1	6	2	1	0	5
3	4	4	8	2	5	2	0	2	2	9	6	3	16	9	9	10	12	2	0	1	5	8	10	0	12	1	10	5	0	14	1	4	12	2	1	5	1	8	16	0	0	2	8	4	7	6	4	7	2
5	48	2	19	30	12	39	7	35	32	15	9	20	16	41	18	39	4	14	42	36	22	14	21	0	22	30	9	24	19	17	1	16	43	25	44	23	4	29	18	29	7	20	14	24	38	28	37	44	5
4	2	2	0	10	0	3	2	6	2	4	4	2	2	4	4	3	0	8	1	24	9	24	6	42	55	18	40	2	31	4	10	9	6	0	0	6	2	17	1	28	4	1	2	0	2	6	2	0	9
44	23	18	18	5	5	1	1	9	7	0	3	0	24	2	8	8	1	4	2	21	8	6	8	8	0	9	1	2	4	7	9	6	16	4	0	0	0	2	2	0	3	4	4	17	13	9	4	3	1
2	19	8	4	6	6	0	0	12	2	2	21	0	4	9	2	9	7	2	5	0	0	0	8	2	0	9	3	10	34	18	6	19	0	2	23	0	6	4	46	20	4	6	9	0	0	4	0	9	9
12	30	18	15	15	4	42	13	24	50	43	4	31	2	51	0	22	16	17	4	10	2	23	10	6	66	25	14	8	25	4	19	25	2	13	0	0	1	4	3	2	2	7	8	9	2	10	4	9	0
0	2	3	10	1	5	14	1	0	10	32	0	6	4	2	33	20	6	14	1	38	21	0	21	7	23	6	70	3	17	2	4	4	2	1	0	0	17	8	3	0	1	12	6	0	2	0	0	6	3
0	0	3	2	2	4	10	4	6	9	0	19	5	2	11	0	6	4	82	9	12	39	91	20	2	2	4	2	0	11	3	9	6	0	0	2	0	2	2	2	2	8	0	10	6	5	0	2	0	27
6	9	11	115	52	8	12	14	36	23	12	16	33	48	14	40	15	48	15	7	75	66	70	81	23	71	119	15	30	15	22	29	15	172	17	22	90	27	20	36	37	57	23	39	4	100	16	6	47	69
